Time    Ener
1333    5.86
2055    3.32
9267    2.76
15270   5.59
17842   4.64
18938   9.43
21040   5.92
21784   3.43
28575   3.49
28917   4.72
36522   3.71
45511   3.96
58722   4.63
59699   4.72
60974   3.51
62680   2.72
66760   2.68
76481   3.16
77298   3.84
81363   3.70
83024   5.36
95836   6.51
109124  3.00
112196  4.54
117275  5.10
118452  1.79
120102  3.57
123588  3.51
125890  2.52
127087  7.28
136959  4.86
145431  3.01
146564  3.50
146700  4.26
164886  4.38
164933  1.88
172327  5.42
176555  3.11
187052  1.62
189791  5.45
190159  2.92
197333  5.47
198002  1.10
200043  4.19
201714  4.72
202195  4.34
206338  4.33
210399  4.78
212994  4.66
213013  3.47
214165  4.45
226029  2.32
226051  4.90
233165  3.56
236994  6.55
237321  2.70
237858  3.75
238904  6.38
247931  4.53
253063  5.59
253808  4.50
255262  3.72
257989  6.30
261013  6.39
262138  2.15
263774  3.83
265584  5.89
270145  5.16
274423  3.28
285542  3.40
289983  3.77
292735  5.07
300160  1.03
301548  4.34
303263  1.55
303549  5.17
306637  4.25
307086  1.90
307601  3.50
310865  5.92
317370  3.39
319166  6.08
322832  2.29
331294  6.40
332085  3.95
335393  4.02
359930  5.85
361642  1.76
366385  4.46
378547  4.10
378858  4.75
385677  9.11
390470  3.09
391592  4.86
394871  6.02
395207  6.48
398706  3.65
399093  4.13
399202  4.51
407055  4.72
412354  2.59
416048  4.67
422449  3.66
424877  5.02
438880  1.73
446214  3.97
449628  1.66
450567  1.10
453234  4.23
453388  3.46
460506  5.20
465296  3.47
468273  3.29
473070  9.02
494435  3.51
502972  3.49
504436  5.48
506638  2.40
512618  3.96
517166  4.09
519871  3.61
523078  9.44
524224  6.43
526256  3.42
532406  2.40
533851  4.76
537944  4.58
537988  4.90
539706  2.51
540978  2.89
544735  3.18
546604  3.73
553461  3.55
558549  2.75
559039  5.10
559224  2.32
563870  4.65
571968  1.63
573482  6.79
575278  6.35
575605  4.48
575665  5.83
578253  6.44
581397  5.08
581554  3.97
582170  4.30
582499  4.91
583212  6.10
594988  4.92
595258  2.91
595751  7.70
601977  4.68
608629  3.65
610724  4.93
625852  3.25
628314  4.32
638268  4.29
640885  2.24
649676  3.34
651762  3.90
656005  7.22
657686  7.53
661471  2.95
662891  5.35
666380  2.32
671161  3.18
672373  3.17
674578  4.04
676441  1.69
676978  4.51
677126  2.65
680314  4.10
684827  4.40
685054  7.30
685650  3.97
689680  4.61
700309  5.25
706001  4.06
709459  3.67
712550  1.78
716555  1.90
732140  5.03
735624  3.82
735727  4.81
737753  6.41
739157  6.18
750157  3.72
752114  3.47
754203  3.56
754765  2.53
756254  3.64
767144  3.61
772681  3.52
776485  3.54
788349  4.29
788638  0.92
795024  2.94
795335  2.75
796400  4.27
800794  5.35
806463  4.20
810371  3.20
821176  3.06
823620  5.58
825834  5.08
829870  4.74
836124  2.87
843509  6.56
848201  3.04
