Time    Ener
488410  1.89
488985  1.03
488994  1.37
489739  3.46
490144  1.17
490578  0.92
491859  1.77
492886  0.95
493122  1.68
493307  1.00
493502  1.14
493587  1.35
493932  1.01
494472  1.93
494523  1.85
494981  2.31
495716  1.07
495839  1.43
497013  1.24
498474  0.97
499228  2.20
500839  1.06
501540  0.99
502636  1.70
508918  0.91
509436  3.11
509857  1.59
510165  1.15
510972  1.19
511798  2.11
515282  1.90
516909  1.37
517330  1.29
517471  2.10
519428  0.74
520015  1.55
520411  0.73
526137  2.34
526159  1.29
527136  1.79
527554  1.11
533069  1.03
533873  1.64
536355  1.95
540366  0.93
542008  1.33
542995  0.93
547976  0.82
548982  6.50
549795  1.43
550671  1.97
551017  0.90
553153  1.33
555794  0.56
556727  1.44
556774  1.47
557126  1.04
559234  0.89
559485  1.23
561907  0.70
561932  0.93
562312  1.29
562560  0.67
562670  0.95
563754  0.90
566546  3.09
567372  1.29
568550  2.08
569643  3.83
571286  1.19
572589  2.96
573563  0.77
578328  1.23
578538  1.99
580992  0.82
582955  1.20
583589  1.56
589366  1.93
590085  0.81
591398  1.21
591960  1.60
593069  0.86
593122  1.44
594445  1.49
595575  1.43
597215  1.04
597353  2.74
598927  1.59
600356  1.64
600441  0.70
601782  1.66
602350  0.93
602941  0.95
605020  1.11
605027  1.98
605912  2.34
606556  1.23
609019  1.12
609528  1.60
611730  1.50
622739  0.79
623483  1.68
623549  2.04
624426  1.31
627168  1.67
628251  0.65
628424  2.33
629750  1.26
631641  2.19
633836  0.73
635014  1.82
635067  3.26
639179  1.14
644418  1.07
647889  2.68
648479  1.04
648530  2.04
649155  1.21
652723  1.83
652754  1.05
653596  1.59
654520  3.94
655503  1.56
659599  1.84
659602  1.82
663707  0.76
665187  1.09
667674  0.97
667721  1.11
670259  1.89
671745  0.96
671981  1.48
675222  1.24
676557  3.58
676629  1.26
676859  1.23
678310  2.07
679601  3.44
679814  1.30
680012  1.03
680461  1.69
680738  2.31
680936  0.98
682446  0.46
683301  1.78
684884  1.18
685628  6.76
689972  2.74
692001  1.46
692887  1.26
693578  1.02
693735  1.10
697906  1.58
698990  1.56
700045  2.51
702715  0.85
702828  1.01
703064  2.37
704989  1.09
705944  1.92
706450  1.15
709701  2.18
715958  1.23
716388  1.33
718141  1.48
719645  2.48
719862  1.27
721558  4.21
723694  1.79
728396  2.01
729442  0.92
729624  3.75
731211  2.73
738985  1.18
739066  0.81
742204  1.13
745879  1.13
748269  1.01
749981  3.45
751172  1.00
753471  1.18
